"asciiname","population","latitude","longitude"
Carnaxide,23698,38.72706,-9.24671
Pinhal Novo,23510,38.63106,-8.91376
Monte Estoril,23375,38.70636,-9.40595
Pontinha,23249,38.76771,-9.19935
Loule,23109,37.13772,-8.01968
Arcos de Valdevez,22847,41.84668,-8.41905
Moscavide e Portela,22488,38.77929,-9.10222
Sao Joao da Madeira,22079,40.9007,-8.4902
Lavradio,21877,38.66808,-9.05204
Bougado,21680,41.33979,-8.5518
Valongo,21328,41.18883,-8.49857
Caparica,21167,38.66179,-9.20032
Belas,21019,38.7767,-9.26353
Laranjeira,20988,38.65599,-9.15376
Linda-a-Velha,20895,38.71446,-9.2422
Trofa,20692,41.33729,-8.5596
Baiao,20522,41.16273,-8.0347
Laranjeiro,20473,37.06799,-7.8078
Carcavelos,20366,38.69105,-9.32215
Camarate,20177,38.80358,-9.12809
Entroncamento,19887,39.46667,-8.46667
Paredes,19834,41.20485,-8.33147
Moncao,19738,42.07892,-8.48076
Piedade,19472,38.67005,-9.15852
Custoias,19406,41.1053,-7.32097
Alges,19327,38.70245,-9.22936
Tomar,19168,39.60199,-8.40924
Barcelos,19085,41.53174,-8.61843
Pedroso,18963,41.41103,-8.74897
Vilar de Andorinho,18944,41.10574,-8.58622
Sao Joao da Talha,18925,38.82378,-9.09719
Azeitao,18877,38.51919,-9.0139
Lagos,18831,37.10202,-8.67422
Quarteira,18783,37.06946,-8.10064
Santa Iria da Azoia,18573,38.8411,-9.09908
Ovar,18452,40.85862,-8.62513
Vila Franca de Xira,18355,38.95525,-8.98966
Leca da Palmeira,17996,41.191,-8.70027
Moita,17795,38.65078,-8.99038
Sacavem,17718,38.79202,-9.10801
Covilha,17610,40.28106,-7.50504
Ramada,17535,38.80368,-9.1877
Chaves,17535,41.74019,-7.46879
Pombal,17355,39.91674,-8.62847
Ilhavo,17236,40.60188,-8.67021
Parede,17212,38.69282,-9.35412
Condeixa-a-Nova,17078,40.11283,-8.49804
Alfragide,17044,38.73203,-9.2192
Sao Pedro da Cova,17011,41.14331,-8.50033
